城市,评论,昵称,性别,评分,观影时间
柳州,情节沉闷，剧情很乱。,陈立军926,0,1.5,2018-10-14 00:00
深圳,发哥真是少女杀手,OTI209382026,0,5,2018-10-14 00:00
深圳,做人生的主角,zlchenzhuo,0,5,2018-10-14 00:00
平顶山,无双！～～～,a张二浩,0,5,2018-10-14 00:00
成都,太棒了我的天,uQl614450061,0,4.5,2018-10-14 00:00
深圳,烧脑确实可以,井上Sportsman,1,4.5,2018-10-13 23:59
贵阳,发哥的表演我觉得可以满分 当然郭富城也非常OK 张静初的表演就一个字“作”来形容 而且不喜欢看她那张整容脸 太尴尬了 总体非常好 剧情后面有点颠覆 一切都是想象的  不错了,嬌羞灬黎小仙兒°,0,4,2018-10-13 23:59
沧州,请恕我愚钝，没看明白,R美丽百合,2,5,2018-10-13 23:58
浏阳,很不错，觉得值得一看,oHg398069628,2,5,2018-10-13 23:58
佛山,电影院影响了我观看后的心情，借了个街电，散场后关了电源，不给还了，上哪去还啊？！都凌晨了，开个电源等了半小时,yep.670,0,0.5,2018-10-13 23:58
德州,烧脑片，不过看的挺过瘾，两大影帝演技一流,dZY427300173,1,5,2018-10-13 23:57
上海,烧脑，值得看,蜗牛丿小锅,0,5,2018-10-13 23:57
深圳,来看发哥的棒棒的，这前面太无聊了才睡着了，结尾，好复杂,deo656827032,0,5,2018-10-13 23:57
铜仁,从故事情节上来说吧，整个故事围绕制作假钞来发展的，所有情节一环扣一环让人真的捉摸不透什么是真什么是假，不管是“画家”所制造的假钞还是他们之间的爱情和友情都是相互利用的，这一点也展现了整部电影所表达的东西那就是——人性善恶，之前“画家”所构造的故事里他是善良的可真实的他却是十分心狠手辣的，但是他对他所理解的艺术和他想要的一切是十分憧憬的，这一点在影片结尾的时候导演的拍摄手法就非常加分了，将“画家”仅剩的“善”所表达出来了。但是不足之处在于这部电影正义一方的表达感还是出现不多，这在观众看来就对所谓的失败者产生了好感，就误导了观众的价值取向了。总的来说也算是对发哥和郭天王的那个年代电影的一种怀念吧。,申林鹏237,0,4.5,2018-10-13 23:57
黔西南,不错的电影，还好来看了。,gjh949651777,1,5,2018-10-13 23:57
武汉,有点看不懂....,OHj329033277,0,5,2018-10-13 23:57
吉安,还行吧，可以看的一下,WJX448992835,0,4,2018-10-13 23:56
北京,好久没有看过这么过瘾的电影了～作为一个画家看此类电影难免挑剔，但是电影从剧本到演员到特效都很棒～好看,JIw834800236,0,5,2018-10-13 23:56
成都,好看嘛 周润发气质还在,Jason.8465,2,5,2018-10-13 23:56
东莞,剧情有反转，还不错,lim007,1,4,2018-10-13 23:56
北京,后悔看了，真不怎么样,hRE718241932,0,1.5,2018-10-13 23:55
郑州,演员都很厉害了♥,a加油372,1,5,2018-10-13 23:55
太原,真是好看，扑朔迷离的剧情，一直被郭富城引导的层层深入，原来他是个编剧。还有发哥的演技真是演界中的泰斗啊！,tjc15035128010,2,4.5,2018-10-13 23:55
成都,剧情紧凑，很不错,_qqkm71373976841,1,5,2018-10-13 23:55
海口,挺好看的，很好！,pCg246166281,0,5,2018-10-13 23:55
焦作,好看，好看，,我是小菇,2,5,2018-10-13 23:54
青岛,看不懂，故弄玄虚,vnE614771346,0,0.5,2018-10-13 23:54
彭州,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖. 店主态度特好, 我会再次光顾的好卖家 赞，发货迅速，态度很好，很满意！很好很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉， 很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好，出乎我的意料包装非常仔细。下次有机会再找你，店家人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",冯歪歪啰,2,5,2018-10-13 23:53
贵阳,老戏骨就是老戏骨，真真假假，假假真真！推荐！,HUM441768973,0,5,2018-10-13 23:53
南沙,没有追龙好看,afour745,0,5,2018-10-13 23:53
乐山,还行吧，没有期望那么好！,丝丝655,2,4.5,2018-10-13 23:53
嵊州,剧情反转刺激,　Amen,0,5,2018-10-13 23:52
西安,非常优秀的悬疑片。情节紧凑连贯，全程无尿点。,Philuuuup,0,5,2018-10-13 23:52
深圳,发哥演技真的不是盖的。气场强大全场有他的镜头气氛很燃。冲着发哥必须十分满分。全程被发哥吸引。情节也环环相扣不知道下一步会怎样。结局出乎意料有反转。里面的背景音乐也不错。电影也有深意每个人都是自己的主角。明天再二刷一遍。好电影值得一看强烈推荐！,蒲公英的半海52,0,5,2018-10-13 23:52
绥中,很不错，各种反转，各种高智商，很棒,黄馨莹928,2,4.5,2018-10-13 23:52
湘潭,"推荐一下.不看到最后一刻.就不会知道结局是什么.
",fnS466898736,0,5,2018-10-13 23:52
诸城,挺好的。喜欢周润发得张弛有度。。喜欢郭富城的演技老练,lewgy1350,0,5,2018-10-13 23:52
大连,本来不喜欢这类型电影，但看了觉得还不错,！加油加油123,0,4.5,2018-10-13 23:52
郑州,经典的港片风格，情节local，猜到了结局，也猜到了会反转，但结尾处接二连三的反转还是不落俗套的会出人意料。很好看。发哥好帅啊，城城演技真的提高了，整体来讲—完美！,Kiv141176504,0,4.5,2018-10-13 23:52
广州,个人觉得，看得有点压抑,iEM283455818,1,4,2018-10-13 23:51
遵义,最后的反转太让我意外了，发哥宝刀未老，风采不减当年，我还是那么喜欢你！,PmS382956660,1,4.5,2018-10-13 23:51
重庆,永远的小马哥……,MfE961477921,1,5,2018-10-13 23:51
包头,剧情一般般，有点尬演,Naa不喜欢,2,3,2018-10-13 23:50
银川,很不错，最后剧情的反转真的出乎意料，推荐观看！！！,UpW849223281,0,4.5,2018-10-13 23:50
宜宾,发哥老了 还是帅 喜欢何警官,DsD865461105,2,4.5,2018-10-13 23:50
广州,故事情节紧张演员演技给,小强5014,1,4.5,2018-10-13 23:50
蒙自市,第一次在电影院看睡着了，剧情超烂，混乱不堪！,gjR427784311,1,0.5,2018-10-13 23:50
西安,好看，发哥不限当年,Immanuel739,0,4.5,2018-10-13 23:50
长沙,演员演技好，影片的特效也不错，就是有点儿烧脑，结局没看明白。,jsS907017548,0,4.5,2018-10-13 23:49
崇州,虚虚实实，真真假假，皆是独一无二，即为无双。,Ypv408665402,0,5,2018-10-13 23:49
兰州,还行，就是后面有点乱,Ami_Heat,0,3.5,2018-10-13 23:49
贵阳,烧脑壳。。。。。。,cov224307560,0,5,2018-10-13 23:49
上海,表示没看懂😓,VGF385845129,0,3.5,2018-10-13 23:48
北京,很棒的犯罪电影，庄先生十年磨一剑，值得钦佩。对于发哥和郭天王的表演，无可挑剔之外觉得把自己融入戏里面，这种本色出演是非常难得的,LRLHYzba,1,4.5,2018-10-13 23:48
台州,好强的悬念。,kingbeckham,1,4.5,2018-10-13 23:47
眉山,挺不错的剧情反转 两位主演演技也在线,慢吞吞的小猪,1,4,2018-10-13 23:46
鹤山,一脸懵逼 都不知道说什么,IAN960183725,2,1.5,2018-10-13 23:46
三亚,剧本好！演员、特效都挺6..,lxl198387,0,5,2018-10-13 23:46
南昌,还可以，剧情线有一点点混乱，逻辑方面一般,CkY533785893,0,3.5,2018-10-13 23:46
郑州,剧情太好看！！！反转的很棒！发哥太帅了啊啊啊啊！！！！！！！我爱发哥！！！,ZNr881939672,0,5,2018-10-13 23:46
深圳,不好看，几百次的想中途离席,最后的王公,2,2.5,2018-10-13 23:46
梧州,超级好看，编剧真的牛逼，看到最后面终于看懂了整个剧情,馋嘴小汪汪,2,5,2018-10-13 23:45
武安,欠发哥一张电影票。真的现实和影片中完全两个人,狼狈200,0,5,2018-10-13 23:44
深圳,没想到结局，却,SZs369660242,0,5,2018-10-13 23:44
绍兴,除了中间在丛林里的戏，其他都算今年最紧凑的类型片，不过还是有借鉴玩过电影,SilenceKira,0,5,2018-10-13 23:44
新密,看完觉得就是一个男人忘不了初恋，一个女人为难之后以身相许却得不到那个男人的心,Ynl803527110,0,4.5,2018-10-13 23:43
台州,确实是钞级大骗，刚开始全是回忆，后面来个大反转，演技在线，不错！,yRA460870610,1,5,2018-10-13 23:43
福州,觉得叙述的方式还是不够清晰，中后段跳跃太多，让人疑惑，回来看了介绍才知道真正的意思……总之一般般,sugar_梳子,2,3,2018-10-13 23:43
长沙,故事有点意思,hZx109995116,0,5,2018-10-13 23:42
西安,以为发哥是王者，结果还是个小学生。,绝世好玉0317,1,4.5,2018-10-13 23:42
大连,虚实并进，天下无双。,DIQ187368771,0,5,2018-10-13 23:42
昌吉,人物关系复杂,nIn651732986,0,0.5,2018-10-13 23:42
南京,极致。精彩。,大风色,2,5,2018-10-13 23:42
长沙,最后才发现是一个深井冰的独白,Nes236671442,0,3.5,2018-10-13 23:40
深圳,细节很到位 结局才看懂,Lmw274257473,0,4,2018-10-13 23:40
东莞,不好看，导演估计写到最后，想不到结局了就瞎写,贾平凹,1,1,2018-10-13 23:40
深圳,好看到极致！！,mGI393975410,0,5,2018-10-13 23:40
武汉,还可以  剧情不存 ,HQx589057160,1,4,2018-10-13 23:40
青岛,几次推翻我对结局的猜想，精彩,GRv100416209,2,5,2018-10-13 23:40
梧州,挺好看的，奔着发哥去的,pJQ469317924,0,4.5,2018-10-13 23:40
长沙,结局反转太惊喜,Wwx883309992,0,5,2018-10-13 23:39
苏州,不错吧，故事比《影》好，但画面的艺术性没《影》,bZe985029456,0,4.5,2018-10-13 23:39
成都,结局出乎意料的好！,JerryBD,1,4.5,2018-10-13 23:38
长春,乱糟糟，莫名其妙的，看的我都睡着了2回。,TYP187034901,0,3,2018-10-13 23:38
烟台,歪瑞奈斯！！,冰风209,0,5,2018-10-13 23:38
深圳,非常乱，看不下去,zVY450956560,0,0.5,2018-10-13 23:38
揭阳,好看，港片精品,xGY419786657,1,5,2018-10-13 23:37
哈尔滨,有一种被人骗了的感觉,问题不大io,0,5,2018-10-13 23:37
深圳,演技一直在线，,吃货小分队11,2,4.5,2018-10-13 23:37
琼海,很好真的很不错,一只小瑜灵,0,5,2018-10-13 23:37
固始县,发哥很nice.,Sakura丶晚街听风,2,5,2018-10-13 23:36
孝义,挺好，周润发太帅了,gGT965982613,2,5,2018-10-13 23:35
广州,发哥多年后拍双枪动作片，绝对赞不绝口。只是剧情有些凌乱了，看着混乱。,YanB’b,2,4,2018-10-13 23:35
阳江,太深奥了，居然没看懂,bmT922263307,0,3,2018-10-13 23:35
汉中,不错。。。。,小小小桃子W,2,5,2018-10-13 23:35
嘉祥,放弃爱情的男人 没一件事情能做好？,原来是男神磊呀,1,4.5,2018-10-13 23:35
肇庆,发哥和郭富城演技都不错！值得看！,ygD679301660,0,5,2018-10-13 23:34
天津,虽然关键一转以前见过，不过演绎的很不错,Zxq616642467,0,4.5,2018-10-13 23:34
南宁,把目光聚焦在发哥身上了，发个还是当年小时候看到的那个发哥，一点都没变。,xDt933949585,2,5,2018-10-13 23:34
西宁,稀里糊涂，没啥意思。,liuyou31,0,3,2018-10-13 23:34
深圳,剧情辗转反侧，千回百转，扣人心弦，迂回曲折跌岩起伏。很好,wDZ955878095,1,5,2018-10-13 23:33
武汉,剧情不错，有悬念，关键是发哥的演技，真的是没说的，太帅了，和当年的小马哥一样，甚至更精彩，没去的快点去看看吧,Cea985445733,0,5,2018-10-13 23:33
深圳,冗长，特别是前面部分，太拖沓。,张鹏28826,1,1,2018-10-13 23:33
安庆,"第十六部！
真的太好看了 反转反转再反转 精彩极了",Gigiiiiii_,2,4.5,2018-10-13 23:33
安庆,挺好看的，周润发、郭富城的演技还是值得信赖的，结尾剧情反转，个人觉得值得一看！,VsC357757124,0,5,2018-10-13 23:33
霸州,讲真，发哥演技颜值一直在线～帅爆了！郭富城演技考究！张静初漂亮！画面感很好，尤其爆破枪战效果刺激！～仿佛又看到了80年代港片的影子！故事情节跌宕起伏，代入感很强！最后整个一个大反转，果然是无双！耐人寻味！倒序琢磨，情节环环相扣，细节完美！整体大赞大赞👍推荐！强烈推荐！,PHOENIX54542,2,5,2018-10-13 23:33
深圳,还挺好看，不过还是有bug，想不明白既然郭富城是画家为什么会被抓进泰国监狱？因为用假钞买机票？不是说行规吗？那不是违反了……？想不明白，难道秀清把他弄进去，然后又把他弄出来？,EGe358662319,2,4.5,2018-10-13 23:33
深圳,只知道我的狗河看的很嗨…,占露732,2,4.5,2018-10-13 23:32
武汉,我的五星全给发哥   演技太牛逼   至于剧情可以参照搏击俱乐部   基本是照搬,YangFantastic,0,5,2018-10-13 23:32
淮安,本票无 画家,mvv330480455,0,4.5,2018-10-13 23:32
许昌,天王就是天王，发哥太酷了,郭优秀—,1,4,2018-10-13 23:31
凉山,本来奔着张静初的，结果还是更加感慨发哥的演技，真是绝了o(^▽^)o城城的角色塑造爷拿捏得当……不错的作品,LY276107956,0,4.5,2018-10-13 23:31
钦州,结局搞个自爆多余的,gsw912620503,0,4.5,2018-10-13 23:31
福州,十分得劲！！！,Chengini,0,4,2018-10-13 23:30
长春,没看懂，演员演的挺好，不过发哥演的有点过,KmH990752099,0,5,2018-10-13 23:30
益阳,前面还可以，看到后面就觉得收尾太仓促啦……,fTO947739412,0,3,2018-10-13 23:29
成都,十分没毛病 支持一下 最近最好看的电影,_qqz6w1429427309,0,5,2018-10-13 23:29
辽阳,强烈推荐看一遍！兴许需要看两遍才能看懂！演技炸裂，演员演技都在线。大家不要光看阵容是就评价是烂片啊，他们的演技会让你改观的！不愧港片！如果你能看懂必须给10分！！！,_qqt741389256704,0,5,2018-10-13 23:29
黔南,挺好看的一部港片，支持港片。,sjd341397304,1,5,2018-10-13 23:28
河源,看着有点迷，不知道讲什么，不过很刺激，好评,Zbd497266629,0,4,2018-10-13 23:28
中山,还行吧，看到最后才明白什么意思,秋婵417,2,4.5,2018-10-13 23:28
天津,在我看的电影里我评分最高的一部，真的不错，你发哥永远都是你发哥，魅力是真的一点都不输当年，身材保持的也非常棒，拿枪的时候真的帅的没话说，唯一的缺陷就是我已经尽很大力去理解这部电影了，可还有很多不太开窍的地方，这个电影真的适合高智商的人来看才能看懂啊😂不过剧本可以说是很棒的，发哥跟郭富城演技真的炸，看的很过瘾，不愧是国庆档口碑最好的一部片子了，真心值得一看 .,旧巷老友.,2,4.5,2018-10-13 23:27
鞍山,剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！剧情非常好的！,落夜飘零！,1,4.5,2018-10-13 23:27
南京,电影不错，发哥演技爆炸哦，不过最后的神反转有点突兀，较难接受。,wBR877538850,0,4.5,2018-10-13 23:27
长春,环境好，新品效果好，总体就是好吧，对了，座椅很舒服。,xCf371929937,0,5,2018-10-13 23:27
沭阳,庄文强的电影一直很棒。演员功力扎实，故事流畅，细节处理的不错，值得一看再看,Rua832811485,0,5,2018-10-13 23:27
龙岩,还行没有想象的好看,pZn580615098,0,3.5,2018-10-13 23:26
贵阳,全程看发哥，不过结局并不意外,HHZ761166654,0,4,2018-10-13 23:26
西安,好看小马哥还是当年的风范，,KKe89203892,1,5,2018-10-13 23:26
佳木斯,长篇幅叙述第一个故事，而真实的故事表示不是很懂。,aGs109334803,0,3,2018-10-13 23:26
株洲,一般般吧，还行吧,JIA243751184,1,5,2018-10-13 23:26
长沙,节奏紧张，演技真实，发哥太霸气了，风采不减当年啊，,苦艾123,0,5,2018-10-13 23:26
上海,双影帝，实力派，良心大作！好看！,itV813986340,2,5,2018-10-13 23:25
深圳,烧脑好看！！！,Mingchya,0,4.5,2018-10-13 23:25
赣州,好看，港片要崛起了！,应情因情,0,5,2018-10-13 23:25
南昌,近期看过最好看的一部片子,勿听勿语202,2,5,2018-10-13 23:25
儋州,还不错，结局反转，画家原来是李问自己虚构出来的人物。发哥演技派，表现不错。郭富城是真正的大Boss，如果可以，后面暴露后戏份能更多些就更棒啦！,GNa597029153,0,4,2018-10-13 23:23
呼和浩特,好看，剧情完整曲折，结尾层层逆转，发哥超级帅，郭富城演技爆发，值得二刷。警官小姐姐我还以为是红海行动的那个……结果一查脸盲了……,FsK632049109,0,4.5,2018-10-13 23:23
宁波,看不懂，到最后也不知道真相是啥，反派莫名其妙正能量，也许要过审坏人必死。,阳光小黑酱,1,3.5,2018-10-13 23:22
重庆,搏击俱乐部，了解一下,一个吃货嘛,1,5,2018-10-13 23:22
南京,还是值得一看的,Summer°820,2,4.5,2018-10-13 23:22
藁城,感觉还不错，小马哥的风范儿又出来了，值得一看,FGO471267425,0,5,2018-10-13 23:22
从化,剧情有点乱。,Amando180,0,4,2018-10-13 23:21
蓬莱,非常好看，希望有续集！,韩伟679,1,5,2018-10-13 23:21
沈阳,剧情确实不错，给发哥个👍 ,歌颂「年华」,1,5,2018-10-13 23:21
南宁,这部片只能靠发哥的形象得分了，郭富城演的有点过了……主题描述得有点混乱，似悬疑而又拍不出悬疑的效果。总之就是看了没有什么感觉,RIn396277842,1,3.5,2018-10-13 23:21
南京,很好看，很精彩，环环相扣。,CrN173685271,0,4.5,2018-10-13 23:20
长沙,很好看，剧情就是有点乱,zn13974999474,1,4.5,2018-10-13 23:20
玉林,真不错，悬念很好，剧情逆转。,KzE634318834,1,4,2018-10-13 23:20
吴江,情节很紧凑，剧情很烧脑，非常好看的电影，小马哥依然很帅，美中不足，电影院太热了，看个电影一身汗，虽然是秋天不用开空调，至少也应该保持适当的温度吧，连通风设备都不舍得开。电影好评，电影院差评,阿米984,2,4.5,2018-10-13 23:19
深圳,看得过瘾，故事编的很好，就是最后有些烧脑,wjg13632837935,0,4.5,2018-10-13 23:19
九江,不错，值得一看,大爱无言640,2,4,2018-10-13 23:19
武汉,难得一部佳作,rLg375164629,0,5,2018-10-13 23:19
渑池,一般一般一般,浮萍9917,1,2.5,2018-10-13 23:19
天津,好看。。。。,岇邶,1,5,2018-10-13 23:19
南京,不要太好看，近几个月最好看的一部电影，强烈推荐！,请叫我土狗,1,5,2018-10-13 23:19
金华,看不懂看不明白,顾及谁4182,1,0.5,2018-10-13 23:18
中山,两大影帝合作比较满意！,mia521919,2,4,2018-10-13 23:18
西安,特别好看，一个赞,rjm315373962,0,5,2018-10-13 23:17
江门,一般啦。勉强能看,pJf219534743,1,4,2018-10-13 23:17
上虞,太冷了 不满意不满意,童童帅帅的,0,3.5,2018-10-13 23:17
东莞,给九分吧，还有一分怕你骄傲。很棒的题材电影。建议大家可以去看一看,hos468831852,0,4.5,2018-10-13 23:17
深圳,质量不错 剧情参考《看不见的客人》有点想看黑帮文(搓手,nSD220797008,2,4,2018-10-13 23:16
西安,编剧好，剧情紧凑。郭富城和周润发不亏是老戏精了，演的也好,孙悟坑不坑,1,5,2018-10-13 23:16
天津,太棒了 各种反转,xiaoyangzi85,1,5,2018-10-13 23:16
重庆,非常好看，郭富城演技炸裂，发哥还是实力派的帅叔叔。,PPj878171470,2,4.5,2018-10-13 23:16
南宁,不错，郭富城演技有提升,penghua144,2,4,2018-10-13 23:16
瓦房店,不错，最起码让人动脑了点,WNu491362866,1,5,2018-10-13 23:15
兴宁,    挺好看的哈哈哈哈很刺激,甜心8652,2,4,2018-10-13 23:15
上海,还不错，有点英雄本色和赌神的味道,JEp325945425,1,4.5,2018-10-13 23:15
无锡,剧情接近完美,hanxiao05501,0,5,2018-10-13 23:15
重庆,很好，很不错,肥猫走钢丝,2,4.5,2018-10-13 23:14
武汉,很好看的一部电影,DUB463596583,0,5,2018-10-13 23:14
昌吉,真的很不错，很值得一看，剧情紧凑，整体思路清晰明确,sTo671301718,0,5,2018-10-13 23:14
贵阳,剧情挺丰富啊,安承daer,2,5,2018-10-13 23:14
肇庆,好看，喜欢发哥和城城的合作，赞👍👍,hbh747909,2,5,2018-10-13 23:13
鸡西,非常不错，值得一看，,彬彬84373,1,5,2018-10-13 23:13
昆明,说实话，好久没看过这么有意思的港影了😁,zzU746258509,0,4.5,2018-10-13 23:13
广州,要不是发哥颜值演技突出，我的分会打到1！剧情也就那样，其实整部戏做假钞不是主线路，也就那样,贤953,1,3,2018-10-13 23:13
长沙,打瞌睡打瞌睡,OOg476464848,1,3,2018-10-13 23:13
深圳,做自己眼里的主角 不成为别人眼中的主角,EeY896786114,1,4.5,2018-10-13 23:12
深圳,还不错吧，就是看太晚了有点犯困,Lxia912,2,3.5,2018-10-13 23:12
嵩明县,超赞，值得一看,音符丫头,2,5,2018-10-13 23:12
肇庆,发哥还是一如既往的优秀,阳光虎888,1,4.5,2018-10-13 23:11
昆山,烂片一部，超级烂,刘生4836,1,0.5,2018-10-13 23:11
常州,有点烧脑，不到最后一刻不知道答案,PayLiang,1,5,2018-10-13 23:11
武汉,十分已经代表不了我的感觉了，这部片子值得看一下,ikL974147005,0,5,2018-10-13 23:11
西安,不错，可以好看,ln372791327,0,5,2018-10-13 23:11
杭州,值得推荐好看,xy雪宝宝,0,5,2018-10-13 23:11
珠海,发哥演技炸裂。,fFk200606978,0,5,2018-10-13 23:11
重庆,发哥帅帅帅。。。,SS阿苏小妹,2,5,2018-10-13 23:10
广州,这次是陪朋友来看的，我2刷，我朋友第一次看～～真的不错！发哥好好戏,wingssica,2,5,2018-10-13 23:10
福州,好刺激真好看,rrrrauwt,1,5,2018-10-13 23:09
安阳,"我发哥依旧很帅啊~酷~
电影很好值得推荐。",孙鑫瑶545,2,5,2018-10-13 23:09
高碑店,明明相当不错的片子，真不知道为什么评分那么低。,KfK206421472,0,4.5,2018-10-13 23:09
广州,还是挺好看的，看到中途猜中了一部分剧情，后面的大反转还是让我很喜欢，发哥和郭天王的演技还是很在线的，被来是奔着发哥去的，没想到郭天王的演技也这么好，比起一些流量开说这是没得比，相比起一些流量撑起来的电影还是无双更吸引我走进电影院，满意！！！,星4776,2,4.5,2018-10-13 23:09
南京,没看太懂……,艾达王522,2,4,2018-10-13 23:09
天津,剧情出人意料！,zhouyufei1972,1,5,2018-10-13 23:09
齐齐哈尔,还想在看一遍❤❤❤,w欣茹,2,5,2018-10-13 23:09
富阳,出人意料，又在情理之中。,FPC510048149,0,4,2018-10-13 23:08
深圳,很精彩，很久没看发哥演的电影了,ZLT601755163,0,4.5,2018-10-13 23:08
晋江市,好看，就是枪战那一场虽然激烈，但有点夸张，然后张雨绮吧，好像第一次看她的片是A面B面，漂亮就印在了脑海里，还是一样惊艳！比那种靠着肉体出名的好不知道几百倍！,N度旋转,1,4,2018-10-13 23:07
芜湖,看似光鲜的表象背后，其实很多东西都是不可替代和忘怀的,时光8与你,1,4.5,2018-10-13 23:07
汕尾,电影好看，但是电影院太闷热，差评,nicole8834,1,5,2018-10-13 23:07
重庆,一部不错的电影，几个反转还是挺喜欢的，发哥的身材和状态保持得让人佩服啊，张静初的演技还是很在线的。槽点也存在，港式一贯的浮夸风，稍显尴尬,火火少年～,2,4,2018-10-13 23:07
深圳,更本就是看不懂,A刘少林305,1,0.5,2018-10-13 23:07
定西,隔壁邻居画家,tra.355,1,4,2018-10-13 23:06
武汉,很精彩的电影,codbhd,1,5,2018-10-13 23:06
榆林,好看得很，很久没看到这么好看的港片了~,FKN465041172,0,5,2018-10-13 23:06
深圳,"周润发是演的可以
",mjf745988498,0,4,2018-10-13 23:06
杭州,感觉还不错👍👍,dIA534893528,0,4.5,2018-10-13 23:06
西安,一贯的支持发哥的影片,tknight67,1,4,2018-10-13 23:06
丽水,先对庄文强点赞，整个剧情“不托不散、无缝对接”，特别是当转入“真相”时，完全“出乎意料”，真的很“反转”，令人眼前一亮，真是久违的香港电影“经典款”。发哥、郭富城两人的演技真是大赏。发哥绝对本色演出，演技时时在线；郭富城其实算是两个“角色”，前部分每个动作眼神及小动作都把一个画家“配角”演到位，后部分真是个“主角”画家了。这两个人的组合演出真的是“火花四射”。前部分发哥演技略高一筹，故事反转后，郭富城明显“冲了出去”，看的真的很过瘾。另外，张静初点烟眼泪含泪那段也真是“演技炸了”，很有感染力。值得再刷一遍。,June一只,0,4.5,2018-10-13 23:06
许昌,剧情此起彼伏，打斗场面非常棒,Udu555854466,0,5,2018-10-13 23:05
即墨,我回去看我的举起手来吧,a小网绿,0,1,2018-10-13 23:05
肥城,发叔很帅，剧情很烧脑，回到家仔细想才明白发叔在里面到底为什么出现😂。很好看 推荐,NrA284011898,0,5,2018-10-13 23:04
郑州,发哥属实有排面，非常好看，,利君，初海瑞,1,5,2018-10-13 23:04
汉中,好看！！！！！,nFW169062617,0,4,2018-10-13 23:04
佛山,一般般吧……,HDk355682141,0,2,2018-10-13 23:03
中山,郭富城的演技这次不错哦！都被他骗了！发哥没想到是个搞笑高手！赞👍 ,BIU869371325,0,5,2018-10-13 23:03
北京,一般般，就靠周润发和郭富城撑起来。,Amy72138,2,4,2018-10-13 23:03
中山,乱七八糟，越看越乱,荣7542,1,0.5,2018-10-13 23:03
海口,不错、剧情铺张有力、有很多细节都很棒，影帝厉害,YtM759974060,0,4,2018-10-13 23:03
庆阳,任务都挺喜欢的   不是很懂,OCw135565527,0,5,2018-10-13 23:03
郑州,"坏人善于把自己伪装成好人，假的永远不能替代真的
反转的剧情让人知乎过瘾",王同阳801,2,5,2018-10-13 23:03
文昌,不错，老演员演技就是耐看，颜值也在线。剧情也不错。结局反转。推荐,OKv485828789,2,5,2018-10-13 23:03
北京,好看。。。。。。,vFz908650326,2,4.5,2018-10-13 23:02
庆阳,想说的是老戏骨就是帅帅帅滴！😎 😎 😎 ,Wwr375859109,0,4.5,2018-10-13 23:02
昆明,发哥身材超棒！还是那么帅！,RUM304930737,0,4.5,2018-10-13 23:02
深圳,全程没看懂，不好看，看到一半影院不少人退场了。烂片！,東方395,1,0.5,2018-10-13 23:02
成都,这个电影院的座椅，是我坐过最痛苦的座椅。,LQb894159739,0,5,2018-10-13 23:02
长春,片子不错。不看到最后不知道谁是高手！,wFc295589183,0,4,2018-10-13 23:02
六安,影帝宝刀未老，很精彩,ZQN337929746,1,5,2018-10-13 23:02
滨州,不愧是影帝与影帝之间的较量，,JVt375785560,2,5,2018-10-13 23:02
拉萨,发哥好帅！发哥简直是男神本神了,丽大太阳,2,5,2018-10-13 23:02
珠海,垃圾电影，回我青春,gzG304717913,0,0,2018-10-13 23:02
沧州,呃…静初还是那么美,Seven62085,1,4,2018-10-13 23:02
惠州,结局有意思的,阿焗,1,4.5,2018-10-13 23:02
合肥,真的很好看，非常的棒。发哥又回来了,qqhao1694418771,1,5,2018-10-13 23:01
天津,很好看，一直被剧情骗了一遍又一遍，主演们都很给力,uRG560763461,0,4.5,2018-10-13 23:01
常州,郭的演技有进步，但几个关健点表现的太做作，尤其被逼迫的反应。发哥的表现一般，被夸过头了，年纪在这里，枪战真不适合他了，暴力不足，优雅不够。整个故事编的有抄袭之感，虽有悬念，看到一大半也能猜个大概结果，有些地方是为了悬念而故意为之，叙事不够顺畅。整片有一大部份是明星效应。,sunkejy,1,2,2018-10-13 23:01
大连,太好看了，认真推荐,dBc902409063,0,5,2018-10-13 23:01
博山,好看，看完好爽！！,dcI867728784,0,5,2018-10-13 23:00
北京,久违的港片啊！发叔真是杠杠的！很棒,允在的豆花包319,2,5,2018-10-13 23:00
江门,最佳剪辑，没有之一。谢谢,Oan350067718,1,4.5,2018-10-13 23:00
湘潭,看的想睡觉啊,ZXr876773513,0,2.5,2018-10-13 23:00
银川,感觉国产片都挺垃圾,Kji920067822,0,2.5,2018-10-13 23:00
长沙,这部影片拍得很好，制作精良，尤其是结尾时的反转情节设计，很有欧美大片的feel，香港的警匪片确实棒棒的,深海小丑鱼444,0,5,2018-10-13 22:59
西安,无限的反转棒极了,惠欧,1,5,2018-10-13 22:59
东莞,好腻害！！！！！,huyuyi77,0,4.5,2018-10-13 22:59
杭州,好看推荐推荐,l2157,0,5,2018-10-13 22:59
