城市,评论,昵称,性别,评分,观影时间
佛山,赶在国庆前睇完四部大作，只有《无双》睇到结尾出字幕后惊讶得还想第一时间二刷，因为片中的大量有趣细节值得翻煲重温。本片有全盛黄金时期的港产片感觉，完全睇唔出合拍片的影子，有唔少向经典致敬的point，但唔会觉得系炒冷饭。发哥角色集小马哥.赌神高进.纵横四海红豆布丁之大成，加上近十年演技炉火纯青的城城（开头一幕哭戏嘴角抽搐的细节就预感系距演技炸裂的开始…果然！）无双可以话系距地概代表作之一了！无双比《影》更好之处在于剧本👍片中伪钞展示手法如纪录片般真实，假戏真做，用目瞪口呆来形容看完的感受吧哈哈！,cala仔,1,4.5,2018-10-01 09:20
许昌,又见到发哥的身影了，发哥就是发哥，永远的周润发，剧情不错，动作精彩，场面火爆,Hwa306603515,0,4.5,2018-10-01 09:17
济南,确实很完美、发哥的电影没让我们失望，回味无穷啊,c.s.007,1,5,2018-10-01 09:17
瑞安,各种演技派。发哥还依然是发哥，老当益壮，郭富城深藏不露，全场回忆案情结果遍了个故事，把自己主角身份换成了配角。剧情扑朔迷离，值得观看,hgl0918,1,4.5,2018-10-01 09:16
广州,剧情拖沓 几个主角小打小闹,xlO279764051,0,4,2018-10-01 09:16
长沙,电影不错，就是观影条件不好,dac199739113,1,5,2018-10-01 09:15
武汉,还可以  还可以,失效药322,0,5,2018-10-01 09:15
桂林,不错，典型的香港动作电影，值得一看！,耳文目睹,0,5,2018-10-01 09:14
义乌,挺好看的，惊心动魄,Utc649324840,0,4.5,2018-10-01 09:14
泗阳,呵呵哒呵呵呵哒,eFp55947970,1,2,2018-10-01 09:14
广州,改整一汇乙气,xietong070115,1,5,2018-10-01 09:13
黑河,"非常好看的一部电影 结局是最好的了选择了
非常惊悚看的十分入目 最后真相出来的时候真是有些惊人 非常的喜欢",oVT338981346,0,5,2018-10-01 09:12
无锡,精彩的反转，很有意思,tianjian1983,1,4.5,2018-10-01 09:12
中山,需要认真看，不然就会感觉乱七八糟的,饕餮之徒龙,0,4.5,2018-10-01 09:12
